,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
aa_aa,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.5,0.0,0.0,1.0,173.5,0.0,0.0,2.5,0.0,0.0,258.0,0.0,95.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,262.5,18.0,0.0,0.5,0.0,517.0,0.0,0.0,8.5,0.0,0.0
aa_eh,0.0,0.5,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,5.5,0.0,3.5,0.0,0.0,232.5,0.0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,2.5,0.0,273.5,9.5,0.0,2.5,0.0,539.5,4.5,0.0,30.5,0.0,57.5
ah_aa,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5,112.5,0.0,0.0,7.5,0.0,0.0,307.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,301.0,14.0,0.0,0.0,0.0,479.0,1.0,0.0,12.5,0.0,6.0
ah_ah,0.0,1.5,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,1.5,0.0,0.0,62.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.5,0.5,0.0,0.0,0.0,656.5,9.5,0.0,26.0,0.0,3.5
ah_ay,0.0,0.0,0.0,0.0,422.5,0.0,0.0,0.0,0.0,0.0,11.0,37.5,14.0,0.0,1.0,0.0,0.0,75.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,37.5,15.0,0.0,0.5,0.0,445.5,0.0,0.0,17.5,0.0,3.5
ah_eh,0.0,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.5,0.0,2.5,0.0,0.0,32.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,68.0,0.5,0.0,0.0,0.0,653.0,20.5,0.0,59.0,0.0,55.0
ah_er,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,5.5,2.5,0.0,2.5,0.0,0.0,160.5,0.0,32.5,0.0,0.5,0.0,0.0,0.0,0.0,2.0,4.5,72.5,20.0,0.0,0.0,0.0,472.5,30.5,0.0,290.0,0.0,17.5
ah_ey,0.0,4.5,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,468.5,0.0,1.5,0.0,0.0,28.0,0.5,7.0,0.0,3.5,0.0,0.0,4.0,1.0,1.0,1.0,41.5,2.5,0.0,0.0,0.0,215.5,41.5,0.0,9.5,0.0,83.5
ah_ih,0.5,4.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,15.0,0.0,1.5,0.0,0.0,35.5,1.0,0.5,0.0,2.5,0.0,0.0,0.0,0.0,1.0,1.5,64.5,0.0,0.0,0.0,0.0,414.0,68.5,0.0,59.0,0.0,36.5
ah_ow,0.5,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,24.5,2.0,0.0,7.5,0.0,0.0,275.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,567.0,2.0,0.0,1.0,0.0,349.0,1.5,0.0,5.5,0.0,6.5
