,ay,aa,ey,t,ow,ah,ih,er,s,eh
aa_aa,33.5,173.5,0,2.5,262.5,517,0,8.5,0,0
aa_eh,18,60,5.5,3.5,273.5,539.5,4.5,30.5,0,57.5
ah_aa,23,112.5,0,7.5,301,479,1,12.5,0,6
ah_ah,6.5,4.5,0,1.5,87.5,656.5,9.5,26,0,3.5
ah_ay,422.5,37.5,14,1,37.5,445.5,0,17.5,0,3.5
ah_eh,5,1,14.5,2.5,68,653,20.5,59,0,55
ah_er,2.5,5.5,2.5,2.5,72.5,472.5,30.5,290,0,17.5
ah_ey,56,0.5,468.5,1.5,41.5,215.5,41.5,9.5,0,83.5
ah_ih,3.5,2.5,15,1.5,64.5,414,68.5,59,0,36.5
ah_ow,6,24.5,2,7.5,567,349,1.5,5.5,0,6.5
ah_s,1,1.5,0,127.5,3,352.5,175,10.5,227,1
ah_t,4.5,2,0,86.5,76.5,284.5,19.5,38.5,1,1
ay_aa,387,59.5,4.5,1,113.5,437.5,0,12.5,0,7
ay_ay,588.5,27.5,12,0,35.5,361.5,0,22,0,0.5
ay_eh,301.5,15.5,21.5,0,74.5,522,8,35,0,24
eh_eh,0.5,0,28,0.5,88,615.5,29,46,0,154
er_aa,18,84,0,0.5,299,391,4.5,162.5,0,11
er_ay,288,35,18.5,0,113.5,423,7,116.5,0,9.5
er_eh,3.5,4,14,0,100.5,531,52.5,169,0,77
er_er,1,3.5,2.5,0,72.5,227.5,68,550.5,0,21
er_ey,36,0,325.5,0,140.5,224,95,45,0,100.5
er_ih,0,4.5,10,0,64,268,156,295.5,0,42.5
er_ow,4.5,16,2.5,0,482.5,304.5,8.5,138,0,26.5
er_t,0,1,1,167.5,46.5,143.5,66,415,0.5,9
ey_aa,104,25,163.5,1.5,270,266.5,24.5,8.5,0,118.5
ey_ay,285.5,9,247,0,111.5,286.5,9,13.5,0,38
ey_eh,25.5,0.5,403.5,0,77.5,216.5,61,15.5,0,176.5
ey_ey,12.5,0,775.5,0,15,32.5,63,1,0,96
ih_aa,30.5,112,3,6,298,333.5,21,31.5,0,58
ih_ay,376.5,49.5,28,0,51,395,15,34,0,19
ih_eh,0,0,29,0.5,99,391,87.5,51.5,0,152
ih_ey,24,0,492.5,0,22.5,79.5,141,8.5,0,149
ih_ih,0,0,20,0,41.5,116,279.5,33.5,0,55
ih_ow,2,16.5,9,4,603,177,22,15,0,106.5
ih_t,0,0,10,60,32.5,74,153.5,23,2,12.5
ow_aa,18,74.5,0,1.5,519.5,377.5,0.5,9.5,0,3.5
ow_ay,319.5,23.5,18.5,1,228,400.5,1,18.5,0,8
ow_eh,7,7,15,1.5,452.5,394.5,9,23.5,0,85.5
ow_ey,49,1,324,0.5,324.5,140,23,6,0,125
ow_ow,3.5,6.5,0,1.5,755.5,226.5,0.5,0.5,0,6.5
s_aa,4.5,37,0,443.5,24,475.5,20,7,201.5,5.5
s_ay,100.5,19.5,12.5,419,2,583.5,31,31,114,4.5
s_eh,0,0.5,4.5,160,5.5,384,161.5,14.5,168,24
s_er,0,3.5,0,161.5,4,219.5,313.5,77,161.5,6
s_ey,1,0.5,126,204.5,2,77.5,400.5,1.5,51,53.5
s_ih,0,1.5,0.5,60,0.5,67,469,6,261,4
s_ow,0,15.5,1,334,99.5,330,81,8,191.5,18
s_s,0,0,0,943,0,0.5,1.5,2.5,607,0
s_t,0,0.5,0,568.5,0,7,55.5,17.5,370,0.5
t_aa,28.5,101.5,0,341,209.5,258,0.5,50,0,9.5
t_ay,288,57.5,12,193.5,24,349.5,3.5,65.5,0,7.5
t_eh,0,0.5,14,206.5,105.5,262,16,67.5,0,57.5
t_ey,11.5,0,304,135,24.5,68,79.5,16.5,0,124.5
t_ow,1,19.5,0,283,574,143.5,6.5,18,0,16.5
t_t,0,0,0,469.5,0,2,3.5,5.5,1.5,0
