,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
aa_aa,0,0,0,0,33,0,0,0,0,0,0,766.5,0,0,0,0,0,211.5,0,70,0.5,0,0,0,0,0,0,0,112.5,25,0,12.5,0,88.5,0,0,1,0,0.5
aa_eh,0,0,0,0,39.5,0,0,0,0,0,1,198.5,0,0,3.5,0,0,382.5,0,7.5,18,0,0,0,0,0,1.5,0,382.5,29.5,0,13,0,215.5,1,0,25.5,0,109.5
ah_aa,0,0,0,0,10.5,0,0,0,0,0,0.5,469.5,0,0,1,0,0,419,0,33.5,1.5,0,0,0,0,0,1,0.5,322.5,56,0,5,0,187.5,0,0,3.5,0,2.5
ah_ah,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,0,6.5,0,0,0,0,0.5,0,2,0,49,0,0,0,0,935.5,1,0,6.5,0,2
ah_ay,0,0,0,0,661.5,0,0,0,0,0,1,26.5,4.5,0,0,0,0,67,0,64,0,0,0,0,2,0,5,0.5,27.5,10.5,0,0,0,311,0,0,6,0,0.5
ah_eh,0,0.5,0,0,11.5,0,0,0,0,0,0.5,0,29.5,0,1,0,0,25.5,0.5,1,0,0.5,0,0,0,0,2,0,55.5,0.5,0,0,0,591,27.5,0,17,0,237
ah_er,0,2,0,0,3.5,0,0,0.5,0,0,0,4,0,0,1,0,0,267.5,0,69,0,0,0,0,0,0,2,2.5,54,29.5,0,0,0,601.5,15,0,336.5,0,7.5
ah_ey,0,12.5,0,0,51.5,0,0,1,0,0,1,0,559.5,0,0,0,0,33.5,0,3,0,12.5,0,0,1.5,1,1,0,61,0,0,0,0,268,8.5,0,1.5,0,42
ah_ih,1,13,0,0,4,0,0,0,0,0,0,1.5,41,0,0,0,0,48.5,0.5,2.5,0,13.5,0,0,0,0,3.5,3.5,69,0,0,0,0,465,180,0,48.5,0,87.5
ah_ow,1.5,0,0,0,4.5,0,0,0,0,0,1,4.5,0.5,0,3,0,0,334,0,12,0.5,0,0,0,0,0,1.5,0.5,637,1,0,0,0,344.5,1.5,0,3,0,3.5
ah_s,0,0,0,0,0,0,1.5,0,0,0.5,1,2.5,0,0,100,2.5,0,20,0,0,0,0,0,7.5,0,0,0.5,2,0.5,0,0,0,0,630,148,0,3,470,2
ah_t,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,212.5,0,0,54.5,0.5,0,0,0,0,0,0,0,0.5,2.5,49,0,0,0,0,390,42,0,92.5,0,5.5
ay_aa,0,0,0,0,497,0,0,0,0,0,0,157,0.5,0,0.5,0,0,169,0,68,0,0,0,0,0.5,0,2.5,0,115,9.5,0,4,0,241,0,0,4,0,4.5
ay_ay,0.5,0,0,0,873,0,0,0.5,0,0,2,2.5,6.5,0,0,0,0,52,0,66,0,0,0,0,0.5,0,3,0,12.5,3,0,0,0,150.5,0,0,6,0,1
ay_eh,0,0,0,0,393.5,0,0,0,0,0,0.5,5,55.5,0,0.5,0,0,88.5,0,11,2,0,0,0,0,0,8,0,64,7.5,0,0,0,418,1.5,0,26.5,0,35
eh_eh,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11.5,2,0,0,0,74.5,32.5,0,6.5,0,854
er_aa,0.5,0.5,0,0,16.5,0,0,0,0,0,0.5,279.5,0,0,0,0,0,484.5,0,66,1,0,0,0,0,0,0.5,0,360.5,94.5,0,5.5,0,140,1,0,193,0,5.5
er_ay,0,0,0,0,382,0,0,0.5,0,0,2,28,11.5,0,0.5,0,0,263.5,0,68,0,0,0,0,0.5,0,3,0.5,101.5,20,0,0,0,361,1,0,145,0,4
er_eh,0,1.5,0,0,13,0,0,0,0,0,1,0,17,0,1.5,0,0,157.5,0,7.5,0,0,0,0,0,0,1,3.5,148,52,0,0,0,428,37.5,0,129,0,235.5
er_er,0,0.5,0,0,2.5,0,0,0,0,0,0.5,2,1,0,0,0,0,136.5,0.5,95.5,0,0.5,0,0,0,0,1,3,24.5,28.5,0,0,0,67,26,0,865.5,0,14
er_ey,0.5,8,0,0,36.5,0,0,0.5,0,0,1,0,290,0,0,0,0,201,0,2,0.5,5,0,0,1.5,1.5,0.5,5.5,254,16,0,0,0,232.5,60.5,0,54.5,0,79
er_ih,0,6,0,0,0,0,0,0,0,0,1,2,13,0,2,0,0,177,0,7,0,3,0,0,0,0,0.5,7.5,67.5,101,0,0,0,198,384,0,253.5,0,64.5
