,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ah_ah,0,2,0,0,5,0,0,0,0,0,0,3,0,0,1,0,0,62,0,4,0,0,0,0,0,0,0,0,85,1,0,0,0,643,12,0,31,0,2
ah_s,0,0,0,0,1,0,3,0,0,0,0,1,0,0,128,1,0,21,0,0,0,0,0,7,0,0,0,1,4,1,0,0,0,352,176,0,12,232,2
ah_er,0,1,0,0,2,0,0,0,0,0,1,8,3,0,3,0,0,156,0,30,0,0,0,0,0,0,2,2,79,21,0,0,0,458,36,0,275,0,12
ah_ih,0,5,0,0,4,0,0,0,0,0,0,3,19,0,2,0,0,33,0,0,0,3,0,0,0,0,1,1,63,0,0,0,0,420,73,0,53,0,37
ah_t,0,1,0,0,6,0,0,0,0,0,1,2,0,0,81,0,0,37,0,0,0,0,0,0,0,0,0,6,70,1,0,0,0,289,21,0,35,1,1
ah_ow,0,0,0,0,4,0,0,0,0,0,1,23,2,0,8,0,0,280,0,8,0,0,0,0,0,0,2,1,550,3,0,1,0,372,2,0,6,0,7
ah_ey,0,4,0,0,61,0,0,0,0,0,0,0,476,0,1,0,0,35,0,10,0,4,0,0,4,1,1,2,45,3,0,0,0,210,41,0,12,0,75
ah_ay,0,0,0,0,401,0,0,0,0,0,15,40,12,0,1,0,0,87,0,37,0,0,0,0,0,0,1,0,38,12,0,1,0,455,0,0,19,0,3
ah_aa,0,0,0,0,29,0,0,0,0,0,1,108,0,0,7,0,0,303,0,30,0,0,0,0,0,0,3,0,301,12,0,0,0,471,1,0,16,0,7
ah_eh,0,1,0,0,5,0,0,0,0,0,0,0,11,0,4,0,0,30,0,3,0,1,0,0,0,0,1,0,66,1,0,0,0,652,26,0,60,0,53
s_s,0,0,0,0,0,0,3,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,593,0
s_er,2,3,0,0,0,0,1,0,0,0,0,4,0,0,166,7,0,102,0,0,0,0,0,51,0,0,1,55,5,3,0,0,0,222,314,0,77,149,8
s_ih,0,1,0,0,0,0,1,0,0,1,0,1,1,0,59,2,0,3,0,0,0,0,0,30,0,0,0,3,0,0,0,0,0,66,480,0,7,268,5
s_t,0,0,0,0,0,0,1,0,0,0,0,0,0,0,556,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,56,0,21,379,1
s_ow,4,3,0,0,0,0,0,1,0,0,3,14,2,0,317,0,0,108,0,0,0,0,0,13,0,0,7,20,102,0,0,0,0,323,81,0,9,198,15
s_ey,0,27,0,0,2,0,0,0,0,0,4,0,130,0,190,1,0,24,0,0,0,5,0,29,2,2,0,4,1,2,0,1,0,74,406,0,1,56,50
s_ay,0,2,0,0,112,0,0,0,0,0,15,19,14,0,421,1,0,52,0,0,0,2,0,2,0,0,0,2,2,13,0,1,0,584,26,0,28,128,5
s_aa,0,0,0,0,4,0,0,0,0,0,3,37,0,0,467,0,0,52,1,0,0,0,0,1,0,0,5,3,24,9,0,0,0,468,20,0,9,203,5
s_eh,0,2,0,0,0,0,0,0,0,0,0,1,5,0,161,1,0,15,0,0,0,0,0,13,0,0,0,1,8,0,0,0,0,381,163,0,12,157,21
er_er,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,147,0,69,0,0,0,0,0,0,0,5,66,30,0,0,0,229,64,0,557,0,23
er_ih,0,0,0,0,0,0,0,0,0,0,1,5,9,0,0,0,0,134,0,5,0,0,0,0,0,0,1,8,59,47,0,0,0,262,162,0,298,0,48
er_t,0,2,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,131,0,0,0,0,0,0,0,0,0,19,50,17,0,0,0,157,59,0,420,0,10
er_ow,1,1,0,0,1,0,0,1,0,0,1,18,4,0,0,0,0,408,0,33,0,0,0,0,0,0,0,2,490,12,0,2,0,288,8,0,141,0,27
er_ey,0,1,0,0,36,0,0,0,0,0,1,0,349,0,0,0,0,114,0,10,0,2,0,0,3,2,0,3,134,17,0,0,0,212,83,0,52,0,99
er_ay,0,0,0,0,297,0,0,0,0,0,4,33,22,0,0,0,0,213,0,48,0,0,0,0,0,0,2,0,123,15,0,0,0,407,9,0,108,0,11
er_aa,0,0,0,0,20,0,0,0,0,0,3,84,0,0,1,0,0,387,0,77,0,0,0,0,0,0,1,0,287,31,0,0,0,394,6,0,174,0,6
er_eh,0,0,0,0,3,0,0,0,0,0,0,1,15,0,0,0,0,121,0,11,0,0,0,0,0,0,0,1,91,17,0,0,0,523,56,0,185,0,80
ih_ih,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,7,0,0,0,2,0,0,0,0,0,2,43,1,0,0,0,112,288,0,29,0,55
ih_t,0,11,0,0,0,0,0,0,0,0,0,0,12,0,63,0,0,13,0,0,0,3,0,0,0,0,1,5,32,0,0,0,0,71,156,0,20,3,12
ih_ow,1,1,0,0,3,0,0,0,0,0,0,20,13,0,4,0,0,291,0,0,0,0,0,0,0,1,5,1,606,2,0,8,0,170,22,0,13,0,105
ih_ey,0,2,0,0,24,0,0,0,0,0,1,0,483,0,0,0,0,12,0,2,0,2,0,0,2,1,0,1,19,2,0,0,0,86,149,0,7,0,146
ih_ay,0,0,0,0,378,0,0,0,0,0,3,41,25,0,0,0,0,100,0,18,0,0,0,0,0,0,0,0,48,19,0,0,0,406,14,0,33,0,22
ih_aa,0,0,0,0,28,0,0,0,0,0,1,107,2,0,8,0,0,324,0,23,0,0,0,0,0,0,7,0,316,16,0,0,0,310,23,0,26,0,59
ih_eh,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,16,0,1,0,0,0,0,0,0,0,1,86,0,0,0,0,394,84,0,53,0,152
t_t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,1,0
t_ow,2,0,0,0,1,0,0,0,0,0,4,15,0,0,303,0,0,226,0,1,0,0,0,0,0,0,19,6,585,0,0,4,0,138,7,0,15,0,12
t_ey,0,35,0,0,14,0,0,0,0,0,0,0,300,0,124,0,0,17,1,0,0,2,0,0,2,1,0,4,27,3,0,0,0,68,78,0,16,0,110
t_ay,0,1,0,0,282,0,0,0,0,0,26,58,8,0,202,0,0,97,1,0,0,0,0,0,1,0,2,3,25,29,0,1,0,361,3,0,66,0,8
t_aa,0,0,0,0,22,0,0,0,0,0,5,99,0,0,349,0,0,194,0,3,0,0,0,0,0,0,31,1,202,18,0,0,0,279,1,0,42,0,9
t_eh,0,2,0,0,0,0,0,0,0,0,0,1,12,0,214,0,0,42,0,0,0,0,0,0,0,0,0,4,106,2,0,0,0,252,12,0,64,0,64
ow_ow,0,0,0,0,3,0,0,0,0,0,0,9,0,0,2,0,0,482,0,3,0,0,0,0,0,0,0,1,759,0,0,0,0,224,1,0,0,0,5
ow_ey,0,4,0,0,51,0,0,0,0,0,0,2,297,0,1,0,0,172,0,4,0,2,0,0,7,6,1,1,328,2,0,7,0,157,29,0,4,0,125
ow_ay,0,0,0,0,320,0,0,0,0,0,0,24,13,0,1,0,0,235,0,46,0,0,0,0,0,0,2,0,232,7,0,1,0,404,0,0,20,0,6
ow_aa,1,0,0,0,25,0,0,0,0,0,5,77,0,0,2,0,0,410,0,33,0,0,0,0,0,0,1,0,502,11,0,4,0,389,1,0,10,0,3
ow_eh,0,0,0,0,8,0,0,1,0,0,0,10,13,0,1,0,0,270,0,6,1,0,0,0,0,0,1,2,454,2,0,4,0,400,13,0,23,0,75
