,m,uw,jh,ae,ay,oy,sh,dx,th,v,hh,aa,ey,q,t,f,g,n,k,b,aw,y,d,z,ng,iy,w,uh,ow,r,ch,l,dh,ah,ih,p,er,s,eh
ah_ah,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,0,8,0,0,0,0,1,0,1,0,45,0,0,0,0,942,1,0,4,0,1
ah_s,0,0,0,0,0,0,1,0,0,0,1,1,0,0,95,3,0,20,0,0,0,0,0,6,0,0,1,3,0,0,0,0,0,636,150,0,2,474,3
ah_er,0,2,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,263,0,68,0,0,0,0,0,0,1,3,44,34,0,0,0,608,21,0,337,0,6
ah_ih,1,12,0,0,3,0,0,0,0,0,0,1,40,0,0,0,0,45,1,3,0,13,0,0,0,0,3,4,76,0,0,0,0,458,187,0,38,0,87
ah_t,1,1,0,0,0,0,0,0,0,0,0,1,0,0,217,0,0,49,0,0,0,0,0,0,0,0,1,5,42,0,0,0,0,395,35,0,100,0,7
ah_ow,2,0,0,0,5,0,0,0,0,0,1,6,1,0,5,0,0,312,0,14,1,0,0,0,0,0,1,0,623,2,0,0,0,357,1,0,4,0,2
ah_ey,0,12,0,0,55,0,0,1,0,0,1,0,553,0,0,0,0,32,0,3,0,11,0,0,1,1,1,0,69,0,0,0,0,265,6,0,1,0,43
ah_ay,0,0,0,0,670,0,0,0,0,0,1,31,2,0,0,0,0,74,0,64,0,0,0,0,3,0,2,1,34,14,0,0,0,283,0,0,8,0,0
ah_aa,0,0,0,0,11,0,0,0,0,0,0,463,0,0,1,0,0,427,0,41,1,0,0,0,0,0,1,0,322,53,0,7,0,198,0,0,4,0,2
ah_eh,0,0,0,0,15,0,0,0,0,0,0,0,34,0,1,0,0,25,0,2,0,0,0,0,0,0,3,0,60,1,0,0,0,589,25,0,17,0,231
s_s,0,0,0,0,0,0,3,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,0
s_er,1,0,0,0,0,0,0,0,1,0,1,2,1,0,82,2,0,144,0,2,0,0,0,129,0,0,1,59,5,5,0,2,0,361,341,0,33,311,5
s_ih,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,1,0,5,0,0,0,0,0,149,0,0,0,0,0,1,0,0,0,5,960,0,0,351,1
s_t,0,0,0,0,0,0,3,0,0,0,0,1,0,0,664,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,23,77,0,26,680,1
s_ow,0,0,0,0,0,0,0,0,0,0,7,3,1,0,229,1,0,136,0,0,0,0,0,29,0,0,5,15,78,2,0,2,0,366,92,0,3,343,8
